风险,潜在责任人,潜在应对,概率,影响,分值,责任人,定量,策略,应对计划
v-html 或未净化 HTML 导致 XSS,前端/安全工程师,在前端/后端引入 DOMPurify 或严格白名单清洗,高,高,25,前端负责人,影响所有展示 HTML 的页面与用户,输入净化 + 输出转义 + WAF 规则,在 useArticle 渲染路径接入 DOMPurify；后端入库前再清洗；增加回归测试
Token 存储在 localStorage / 非 httpOnly cookie,后端/前端,改为 httpOnly Secure cookie + refresh token 流程,高,高,25,后端负责人,增加会话被劫持风险（高）,用 httpOnly cookie、短期 access + refresh,后端下发 httpOnly cookie；移除前端直接读取 token 代码；更新中间件
JWT 仅本地解码未校验签名或过期,后端/前端,后端校验签名并提供 refresh；前端队列化刷新,中,高,20,后端负责人,导致未授权访问或频繁 401,后端校验 + 前端刷新队列,在 useAxios 增加 refresh 流程与同步重试队列
SMTP 凭证泄露 (.env 在仓库),运维/后端,移除仓库凭证，使用部署 secrets 或 Vault,中,高,22,运维负责人,可能导致滥发、信誉受损,秘钥轮换 + secrets 管理,从 repo 移除 .env，生成新凭证并在部署平台注入
SQL 注入与未验证的 API 输入,后端,DTO 层使用 validator 并使用 ORM 参数化查询,中,高,22,后端负责人,影响数据完整性/泄露,后端输入验证 + ORM 安全实践,增强 controller/DTO 验证；编写渗透测试用例
文件上传未校验或存储不当,后端/前端,校验 mime/type/大小，使用隔离存储/CDN,中,中,16,后端负责人,可能导致恶意文件或存储滥用,文件校验 + 扫毒 + 限额,在上传接口加入限制并使用对象存储及访问控制
未按环境分离配置（config 泄露风险）,运维,使用环境变量/CI secrets 管理 config,中,中,14,运维负责人,生产配置泄露风险,配置模板 + secret 管理,将生产配置从代码移除，文档化部署变量
中间件误判导致匿名用户被强制重定向,前端,中间件仅在未登录时拦截，并支持 meta 白名单,中,中,14,前端负责人,用户访问受阻（影响 UX）,使用 useCookie/useUserStore 与 definePageMeta,修改 userLogin.global.ts 并写单元测试
路由布局错误（父子路由同时激活）,前端,重构为 index.vue 或在父中显式 NuxtPage,中,中,12,前端负责人,导致重复挂载/生命周期冲突,文件路由调整,将 pages/knowledge 改为 index.vue 或插入 <NuxtPage/>
Transition 报告非元素根导致动画失败,前端,保证每个 page 使用单根元素或移除 Transition,中,中,12,前端负责人,控制台警告，动画异常,扫描 pages 并修复模板根,自动化脚本检测并 wrap 根元素
